"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Feb 22 19:02:55 EET 2023","Wed Feb 22 19:02:55 EET 2023","1","Default Suite","oddsdigger.com","tests.main.MainTest","tests.main.MainTest","clearCookiesAndExit","clearCookiesAndExit",""
"passed","Fri Feb 24 21:30:24 EET 2023","Fri Feb 24 21:30:53 EET 2023","29305","Default Suite","oddsdigger.com","tests.main.MainTest","tests.main.MainTest","newsButtonTest","newsButtonTest",""
"broken","Fri Feb 24 21:26:00 EET 2023","Fri Feb 24 21:28:20 EET 2023","140126","Default Suite","oddsdigger.com","tests.main.MainTest","tests.main.MainTest","headerButtonsTest","headerButtonsTest",""
"passed","Fri Feb 24 21:40:41 EET 2023","Fri Feb 24 21:46:51 EET 2023","369757","Default Suite","oddsdigger.com","tests.main.MainTest","tests.main.MainTest","regButtonsOnTextTest","regButtonsOnTextTest",""
"passed","Fri Feb 24 21:29:28 EET 2023","Fri Feb 24 21:29:42 EET 2023","14766","Default Suite","oddsdigger.com","tests.main.MainTest","tests.main.MainTest","mainLogoLinkTest","mainLogoLinkTest",""
"passed","Fri Feb 24 21:30:59 EET 2023","Fri Feb 24 21:32:26 EET 2023","86820","Default Suite","oddsdigger.com","tests.main.MainTest","tests.main.MainTest","regButtonOnBannersTest","regButtonOnBannersTest",""
"passed","Fri Feb 24 21:18:22 EET 2023","Fri Feb 24 21:23:11 EET 2023","288920","Default Suite","oddsdigger.com","tests.main.MainTest","tests.main.MainTest","footerButtonsTest","footerButtonsTest",""
"passed","Sat Feb 25 09:49:19 EET 2023","Sat Feb 25 09:51:22 EET 2023","122665","Default Suite","oddsdigger.com","tests.main.MainTest","tests.main.MainTest","regButtonsOnMiniBannersTest","regButtonsOnMiniBannersTest",""
"passed","Fri Feb 24 21:47:28 EET 2023","Fri Feb 24 21:47:51 EET 2023","23073","Default Suite","oddsdigger.com","tests.main.MainTest","tests.main.MainTest","showMoreTipsAndNewsTest","showMoreTipsAndNewsTest",""
"passed","Fri Feb 24 21:12:11 EET 2023","Fri Feb 24 21:12:40 EET 2023","29839","Default Suite","oddsdigger.com","tests.main.MainTest","tests.main.MainTest","bettingTipsButtonTest","bettingTipsButtonTest",""
"passed","Fri Feb 24 21:11:15 EET 2023","Fri Feb 24 21:11:28 EET 2023","13478","Default Suite","oddsdigger.com","tests.main.MainTest","tests.main.MainTest","allOddsButtonTest","allOddsButtonTest",""
"passed","Fri Feb 24 21:28:48 EET 2023","Fri Feb 24 21:29:01 EET 2023","13582","Default Suite","oddsdigger.com","tests.main.MainTest","tests.main.MainTest","inPlayBetButtonTest","inPlayBetButtonTest",""
